name,Fe_tot,Fe_carb,Fe_ox,Fe_mag,Fe_py
KC-2-0,5.583,4.45,0.35,0.08,0.49
KC-2-1,5.757,3.65,0.55,0.29,0.63
KC-2-2,2.601,0.27,0.05,0.02,0.94
KC-2-2.5,3.963,1.13,0.14,0.62,0.73
KC-2-3,3.809,0.5,0.14,0.08,1.84
KC-2-3.5,3.641,0.63,0.16,0.08,1.58
KC-2-4.5,4.918,1.36,0.27,0.99,1.28
KC-2-5,3.323,0.37,0.11,0.09,1.36
KC-2-6,4.407,1.44,0.27,0.83,1.26
KC-2-6p,4.14,0.97,0.2,0.42,1.64
KC-2-6.5,4.603,1.14,0.21,0.87,1.32
KC-2-7,4.252,0.87,0.59,0.37,1.51
KC-2-8,10.458,2.92,0.57,3.03,1.89
KC-2-9,3.057,0.42,0.15,0.05,1.36
KC-2-9p,3.089,0.45,0.15,0.05,1.34
KC-2-10,9.441,2.52,0.6,1.85,3.22
KC-2-11,3.94,0.68,0.18,0.6,1.27
KC-2-12,8.915,2.23,0.29,0.72,4.68
KC-2-13,3.064,0.38,0.1,0.11,1.08
KC-2-14,4.161,0.78,0.21,0.47,1.44
KC-2-14.5,4.639,1.11,0.21,0.66,1.27
KC-2-15,2.857,0.23,0.08,0.03,0.96
KC-2-15.5,4.723,1.08,0.35,0.66,1.49
KC-2-16,5.927,1.52,1,1.21,1.66
KC-2-17,2.767,0.28,0.09,0.04,0.81
KC-2-18,7.421,1.97,0.24,2.27,1.21
KC-2-19,2.861,0.31,0.08,0.11,1
KC-2-20,5.94,1.73,0.47,1.53,1.14
KC-2-21,2.95,0.29,0.07,0.02,1.18
KC-2-21.5,3.886,0.58,0.34,0.53,0.89
KC-2-22,5.48,1.01,1.94,0.49,1.33
KC-2-22p,9.942,2.44,1.72,0.48,4.71
KC-2-23,3.695,0.48,0.27,0.17,1.18
KC-2-24,4.531,0.93,0.24,0.6,1.49
KC-2-25,3.382,0.38,0.08,0.02,1.56
KC-2-25.5,3.707,0.56,0.3,0.08,1.76
KC-2-26,5.058,0.84,0.84,1.18,0.91
KC-2-26.5,3.127,0.29,0.06,0.02,1.4
KC-2-27,8.095,1.42,0.32,1.8,1.19
KC-2-28,5.798,1.32,0.43,1.05,1.6
KC-2-29,3.109,0.62,0.21,0.06,1.27
KC-2-30,2.675,2.13,0.49,0.02,0.04
KC-3-A,4.593,1.14,0.18,0.51,2.12
KC-3-B,5.122,2.13,0.34,0.95,1.52
KC-3-C,11.6,3.39,0.95,2.03,4.07
KC-3-D,15.253,8.43,1.21,3.39,1.46
KC-3-E,4.168,0.86,0.63,0.39,1.38
KC-3-F,5.192,2.15,0.3,1.45,0.98
KC-3-G,8.826,2.74,0.4,1.24,3.01
KC-3-H,3.061,0.55,0.15,0.31,0.98
KC-3-I,4.072,0.58,0.23,0.69,1.09
KC-3-J,6.443,2.36,1.59,1,1.45
KC-3-K,3.139,0.5,0.1,0.21,1
