name,duplicate,height,Fe_carb,Fe_ox,Fe_mag,Fe_py,Fe_HR
KC-2-0,0,0.94,5.36,0.36,0.09,0.49,6.3
KC-2-1,0,1.38,4.41,0.58,0.3,0.63,5.92
KC-2-2,0,1.68,0.32,0.05,0.03,0.94,1.34
KC-2-2.5,0,2.13,1.35,0.15,0.65,0.73,2.88
KC-2-3,0,2.6,0.6,0.14,0.08,1.84,2.66
KC-2-3.5,0,3,0.75,0.17,0.09,1.58,2.59
KC-2-4.5,0,4.51,1.62,0.28,1.02,1.28,4.2
KC-2-5,0,5.16,0.45,0.12,0.09,1.36,2.02
KC-2-6,0,6.15,1.72,0.28,0.86,1.26,4.12
KC-2-6p,1,6.15,1.16,0.21,0.43,1.64,3.44
KC-2-6.5,0,6.5,1.38,0.21,0.9,1.32,3.81
KC-2-7,0,7.27,1.06,0.61,0.39,1.51,3.57
KC-2-8,0,7.71,3.56,0.6,3.14,1.89,9.19
KC-2-9,0,8.2,0.51,0.16,0.05,1.36,2.08
KC-2-9p,1,8.2,0.54,0.16,0.06,1.34,2.1
KC-2-10,0,8.64,3.08,0.63,1.91,3.22,8.84
KC-2-11,0,9.47,0.82,0.19,0.62,1.27,2.9
KC-2-12,0,9.91,2.73,0.31,0.75,4.68,8.47
KC-2-13,0,10.73,0.46,0.11,0.12,1.08,1.77
KC-2-14,0,11.19,0.94,0.21,0.49,1.44,3.08
KC-2-14.5,0,11.66,1.32,0.22,0.69,1.27,3.5
KC-2-15,0,12.2,0.28,0.09,0.04,0.96,1.37
KC-2-15.5,0,12.78,1.28,0.37,0.69,1.49,3.83
KC-2-16,0,13.28,1.8,1.05,1.26,1.66,5.77
KC-2-17,0,13.69,0.33,0.1,0.05,0.81,1.29
KC-2-18,0,14.12,2.33,0.26,2.36,1.21,6.16
KC-2-19,0,14.67,0.37,0.09,0.12,1,1.58
KC-2-20,0,15.12,2.06,0.49,1.59,1.14,5.28
KC-2-21,0,15.61,0.35,0.08,0.03,1.18,1.64
KC-2-21.5,0,16.21,0.69,0.36,0.56,0.89,2.5
KC-2-22,0,17.01,1.19,2.05,0.52,1.33,5.09
KC-2-22p,1,17.01,2.87,1.81,0.51,4.71,9.9
KC-2-23,0,17.42,0.57,0.29,0.18,1.18,2.22
KC-2-24,0,18.21,1.1,0.26,0.63,1.49,3.48
KC-2-25,0,18.98,0.45,0.09,0.04,1.56,2.14
KC-2-25.5,0,19.33,0.66,0.33,0.1,1.76,2.85
KC-2-26,0,19.73,0.99,0.88,1.23,0.91,4.01
KC-2-26.5,0,20.16,0.34,0.07,0.03,1.4,1.84
KC-2-27,0,20.84,1.68,0.34,1.87,1.19,5.08
KC-2-28,0,21.44,1.56,0.45,1.1,1.6,4.71
KC-2-29,0,21.77,0.73,0.22,0.07,1.27,2.29
KC-2-30,0,22.21,2.64,0.59,0.03,0.04,3.3
KC-3-A,1,11.66,1.34,0.2,0.54,2.12,4.2
KC-3-B,1,11.66,2.51,0.36,0.99,1.52,5.38
KC-3-C,1,11.66,4.15,1.01,2.11,4.07,11.34
KC-3-D,1,11.66,10.16,1.27,3.6,1.46,16.49
KC-3-E,1,11.66,1.02,0.67,0.42,1.38,3.49
KC-3-F,1,11.66,2.53,0.32,1.51,0.98,5.34
KC-3-G,1,11.66,3.39,0.43,1.29,3.01,8.12
KC-3-H,1,11.66,0.65,0.16,0.33,0.98,2.12
KC-3-I,1,11.66,0.73,0.24,0.73,1.09,2.79
KC-3-J,1,11.66,2.96,1.67,1.05,1.45,7.13
KC-3-K,1,11.66,0.63,0.11,0.23,1,1.97
