sample,mass,est_carbonate,d18O_carb,d13C_carb,carb_mV,carb_diluted
CARRARA Z,0.000136,,-1.35,2.22,2605,
CARRARA Z,0.000238,,-1.29,2.18,4583,
CARRARA Z,0.000224,,-1.24,2.3,4475,
FLETTON CLAY,0.000165,,-0.32,2.22,3334,
KC-2-0,0.0005,30,-5.14,-4.51,7974,
KC-2-1,0.0011,18,-4.57,-4.53,3883,TRUE
KC-2-2,0.0205,1,-3.82,-1.28,2844,
KC-2-2.5,0.0005,28,-4.21,1.24,3643,
KC-2-3,0.0026,7,-3.56,0.12,2805,
KC-2-3.5,0.0142,1,-3.95,-0.21,4056,
KC-2-4.5,0.0011,18,-3.64,-0.71,5391,
KC-2-5,0.0190,1,-3.16,-1.42,8922,
KC-2-6,0.0009,22,-3.9,0.77,6117,
KC-2-6p,0.0007,25,-3.5,0.39,4324,
CARRARA Z,0.000128,,-1.26,2.27,2537,
CARRARA Z,0.00022,,-1.25,2.31,4299,
KC-2-6.5,0.0006,25,-2.95,-0.61,2678,
KC-2-7,0.0010,20,-3.79,0.56,4243,
KC-2-8,0.0007,40,-3.36,-3.39,5644,
KC-2-9,0.0711,0.2,-6.12,-0.08,7407,
KC-2-10,0.0009,30,-3.99,-0.88,5824,
KC-2-11,0.0008,16,-3.85,-1.37,1887,
KC-2-12,0.0066,2.5,-3.5,-1.89,5923,
KC-2-13,0.0035,5,-4.01,-0.51,3000,
KC-2-14,0.0012,20,-3.94,0.33,2281,
KC-2-14.5,0.0005,30,-3.62,-0.22,3469,
CARRARA Z,0.000176,,-1.27,2.23,3482,
CARRARA Z,0.000126,,-1.27,2.21,2501,
KC-2-15,0.0146,1,-4.08,0.01,6071,
KC-2-15.5,0.0031,5,-3.89,-1.02,4580,
KC-2-16,0.0008,30,-3.15,-0.79,6837,
KC-2-17,0.0030,5,-3.43,-2.31,3218,
KC-2-18,0.0009,20,-3.24,-2.39,4351,
KC-2-19,0.0046,3,-3.74,-0.07,3309,
KC-2-20,0.0006,30,-2.82,-1.79,4999,
KC-2-21,0.0738,0.2,-3.63,-0.33,4885,TRUE
KC-2-21.5,0.0030,5,-3.67,-0.42,5400,
KC-2-22,0.0007,30,-4.17,-0.05,6777,
CARRARA Z,0.000158,,-1.31,2.16,3155,
CARRARA Z,0.000213,,-1.29,2.22,4318,
KC-2-22p,0.0006,40,-4.75,-0.56,6079,
KC-2-23,0.0768,0.2,-3.91,-1.28,4506,TRUE
KC-2-24,0.0755,0.2,-3.9,-2.85,14880,TRUE
KC-2-25,0.0718,0.2,-4.07,-1.21,1947,
KC-2-25.5,0.0148,1,-4.69,-0.73,4373,
KC-2-26,0.0008,20,-3.21,-1.42,6220,
KC-2-26.5,0.0783,0.2,-4.03,-3.74,1613,
KC-2-27,0.0013,20,-3.14,-2.43,4230,
KC-2-28,0.0024,8,-3.23,-3.04,4535,
KC-2-29,0.0044,4,-4.1,-1.22,1217,
FLETTON CLAY,0.000247,,-0.17,2.27,4892,
CARRARA Z,0.000149,,-1.16,2.29,2978,
CARRARA Z,0.000145,,-1.3,2.32,2950,
CARRARA Z,0.000145,,-1.3,2.32,2950,
CARRARA Z,0.000142,,-1.32,2.09,2415,
CARRARA Z,0.000212,,-1.25,2.28,4640,
CARRARA Z,0.000206,,-1.26,2.27,4189,
FLETTON CLAY,0.0002,,-0.23,2.29,4115,
KC-2-30,0.0002,90,-0.9,10.38,9566,
KC-3-A,0.0004,30,-4.12,0,2746,
KC-3-B,0.0005,30,-3.59,-2.69,6770,
KC-3-C,0.0008,30,-3.34,-4.97,3516,
KC-3-D,0.0006,30,-3.48,-6.41,9745,
KC-3-E,0.0008,19,-4.03,-0.32,2040,
KC-3-F,0.0006,30,-3.08,-3.21,7932,
KC-3-G,0.0007,30,-3.34,-2.27,3292,
KC-3-H,0.0007,20,-2.67,-1.57,2174,
KC-3-I,0.0012,20,-3.02,-0.04,2219,
CARRARA Z,0.000252,,-1.32,2.3,5165,
CARRARA Z,0.000183,,-1.3,2.2,3706,
KC-3-J,0.0005,30,-3.71,-8.58,9310,
KC-3-K,0.0009,25,-3.71,-1.67,2180,
KC-2-5-L,0.0204,,-6.52,-2.69,2820,
KC-2-8-L,0.0007,,-3.73,-3.57,5137,
KC-2-12-L,0.0103,,,,74,
KC-2-13-L,0.0041,,-5.29,-1.24,2224,
KC-2-18-L,0.0009,,-3.44,-2.79,4975,
KC-2-19-L,0.0043,,-6.27,-1.75,1501,
KC-2-22p-L,0.0004,,-5.01,-0.73,6826,
KC-2-26.5-L,0.8809,,-7.93,-8.74,2607,
KC-3-K-L,0.0008,,-3.72,-1.1,3006,
FLETTON CLAY,0.000219,,-0.18,2.31,4369,
CARRARA Z,0.000139,,-1.23,2.27,2854,
CARRARA Z,0.00017,,-1.25,2.32,3469,
CARRARA Z,0.000173,,-1.26,2.26,4007,
